OBJECTID,OFC_SBRB_NAME,ShapeSTArea,ShapeSTLength
329,PEACOCK CLOSE,82531.2446136475,1421.3380027415
330,ILLAIRE,140198.369327545,1897.09297305332
331,METRO,205962.351409912,2765.36142478627
332,VREDENBERG - SOMERSET WEST,49580.7464675903,916.006660983787
333,ROYAL ASCOT,813264.942199707,5328.51112197638
334,BRENTWOOD PARK - BLUE DOWNS,965095.030410767,4549.42308622979
335,BELRAIL,145912.494010925,1989.48385278438
336,SAXON INDUSTRIAL,586977.83506012,4583.83546490071
337,ELIM,788952.843971252,5027.21432791223
338,AMANDELSIG,407538.688713074,3763.55036237079
339,CAMELOT,419634.560150146,3309.47549876437
340,HARARE,1704979.76665497,5929.11610036242
341,ROSEBANK,1108120.94747925,5590.16035572376
342,HEATHFIELD,982868.813095093,4453.10206890004
343,BELGRAVIA,1624615.13496399,6031.46078844937
344,RYLANDS,864062.996932983,4464.10098496853
345,GATESVILLE,976406.960784912,4998.18517023162
346,LAND EN ZEEZICHT,912902.404117584,4120.33344311992
347,EVERITE INDUSTRIA,1720251.44704437,7362.82888929972
348,ELFINDALE,1620594.64871216,5663.63539290674
349,BUH-REIN ESTATE,889223.181686401,4144.43395823479
350,AUDAS ESTATE,443937.02431488,3168.20854300273
351,HELDERZICHT,89929.9309196472,1325.2817408374
352,CAREY PARK,139446.596385956,1862.6278109793
353,GARDEN VILLAGE,79260.0303573608,1253.87013967032
354,MALL TRIANGLE,1017703.53767395,4866.66547181975
355,SOMERSET WEST COUNTRY CLUB,680522.754062653,5559.90137584007
356,MALL MOTOR CITY,727209.267875671,6019.46002360201
357,RICHWOOD,751476.334625244,3711.65418043782
358,HAGLEY,1727780.27570343,10475.7924942852
359,WIMBLEDON ESTATE,912096.258964539,4377.4915098369
360,BURGUNDY ESTATE,1607557.79153442,5670.99311716422
361,PHILADELPHIA,242626.047225952,3238.02555453726
362,WYNLAND INDUSTRIAL PARK,949186.712463379,4466.87709076236
363,OLIVE GROVE,151829.030643463,1757.04156027366
364,VYGEBOOM,438091.427146912,3483.78822917285
365,ZEVENDAL,235175.63520813,2159.11570247795
366,ZEVENWACHT COUNTRY ESTATE,131100.890518188,1516.22746364569
367,STELLENBOSCH FARMS (KUILSRIVIER),8575071.38562775,19316.3855642047
368,RUSTDAL,482444.152122498,3430.62084803933
369,SAXENBURG PARK 1,587589.252540588,3013.20206327804
370,AVALON ESTATE,214588.818458557,2312.81409130737
371,PINEHURST,2770934.63822174,8782.01896456192
372,SONEIKE II,683890.773361206,3559.30609811549
373,ROUXVILLE,622906.514419556,3784.78652272428
374,JAN KRIEL,311303.658569336,2392.7577720639
375,AMANDELRUG,514365.362686157,3413.54742506858
376,BRANDWAG,189722.996803284,2214.38252010614
377,HINDLE PARK,68314.671546936,1073.7009738267
378,DELRO VILLAGE,55192.5753326416,980.031055853673
379,WITSAND,675409.251342773,3890.44172887369
380,ROBBEN ISLAND,5181880.87747192,11541.0421253192
381,MAMRE,1911502.0821228,7606.1852205551
382,KUILSRIVIER GOLF COURSE,594884.715377808,3524.75831975851
383,HAASENDAL,1270564.72305298,4996.70501529158
384,ANNANDALE,1120537.42803192,5373.86223142733
385,FISANTEKRAAL INDUSTRIAL,1349814.42433929,4827.45625902976
386,KEWTOWN,1947597.14074707,6528.74688030999
387,BRIDGETOWN,1941951.33233643,6928.87594275259
388,SILVERTOWN,1259584.07589722,5600.62216658094
389,MARINDA PARK,168525.306846619,1797.77892249781
390,MABILLE PARK,386901.952400208,2586.05269546745
391,LLANDUDNO,648321.428314209,4002.81625195069
392,FLORIDA,563922.507522583,3507.69087243614
393,CRAVENBY,607535.537857056,3592.94883441239
394,MARVINPARK,132702.601776123,1492.62728252561
395,NEW SCHEME,190763.807510376,1915.70865445304
396,PAROW EAST,838290.940963745,4726.90298703548
397,RUGBY,1053987.27224731,4274.10190147655
398,PLATTEKLOOF 2,1221244.33479309,4827.41379038315
399,NOMZAMO,1040894.84144592,4270.22512311923
400,ONVERWACHT VILLAGE,468964.712528229,3363.94618881676
401,ASLA PARK,159040.429779053,1852.80746059547
402,FERNWOOD,362557.124290466,2743.58570677379
403,LANGEBERG VILLAGE,84971.3750915527,1277.66495402174
404,DURBANVILLE MEADOWS,165922.460533142,1829.24035864006
405,PELLA,1401625.37922668,6452.82074584016
406,WALLACEDENE,2852319.79840851,9335.81909656256
407,KUILS RIVER COMMON,192192.689559937,2048.53547230794
408,BOTHASIG,4026856.65107727,8564.09492894447
409,SONNEKUIL,418417.983642578,3615.70150958257
410,SONEIKE I,434983.446655273,3238.83228231797
411,BRANTWOOD,410372.847442627,3820.22705757374
412,STUART'S HILL,206020.552368164,2342.30725822432
413,NOORDHOEK,16219561.4737244,17552.5021296753
414,SAND INDUSTRIA,1206766.89044189,4543.82659914184
415,GOODWOOD ESTATE,1114629.03240967,6295.06046704846
416,RUWARI,283285.015800476,2255.42421349207
417,BOSKLOOF,509730.563293457,2780.6395110077
418,HEIDEVELD,1828621.92495728,5746.1514582981
419,MANENBERG,3309139.2052002,8566.12604325194
420,PARKLANDS,6341614.22355652,14334.9541488476
421,SANDOWN,1891929.46043396,7530.13659208072
422,RIVERGATE,3204119.48683167,11186.3658127349
423,DE LA HAYE,758010.929618835,3580.34193840421
424,STIKLAND,60044.3688354492,1352.81966336351
425,PINELANDS,6007747.05267334,12941.5927626695
426,CAPE TOWN AIRPORT,14765123.8540878,17114.4126151516
427,SILVERSANDS,1188262.76947784,5984.99786944496
428,HIGHGATE,678252.165153503,3894.07779197938
429,LWANDLE,911834.998443604,3923.66678308842
430,PANORAMA,929380.246383667,4526.64093830037
431,SURREY ESTATE,1315706.85015869,4930.70814535604
432,SIMON'S TOWN,13526406.1480865,30918.1206854796
433,WELMOED CEMETERY,1203773.47771454,4588.77147209329
434,PENHILL,719461.911643982,3757.06033619065
435,EERSTERIVIER INDUSTRIA,2155672.58796692,10610.0957566331
436,JOE SLOVO PARK,225809.528411865,2335.73063026892
437,VREDEHOEK,1419971.05596924,6445.71478777561
438,SUNSET BEACH,1080070.78378296,7821.26457927351
439,BONNIE BROOK,376253.281402588,2992.84491542536
440,ZOO PARK,337907.305252075,2360.34169116999
441,WINDSOR PARK ESTATE,1264482.82701111,4739.57681529708
442,WINDSOR ESTATE,1338208.07839966,5489.44690254863
443,WELTEVREDEN VALLEY,2561973.1015625,12527.7484568591
444,SCARBOROUGH,549702.278457642,3436.321212325
445,FLAMINGO VLEI,862471.504440308,4816.01716804393
446,STELLENDALE,457470.118591309,2902.15633403146
447,RUYTERWACHT,1678158.85777283,5463.09630742366
448,SEAWINDS,950307.171173096,4128.76786232421
449,ZEEKOEVLEI,1324150.08634949,10566.5309500309
450,O'KENNEDYVILLE,83172.3182373047,1232.44193239505
451,NATURES VALLEY,48993.6262588501,1137.46277230263
452,BONTEHEUWEL,3610932.72892761,7554.17835856008
453,HELENA HEIGHTS,713514.396884918,5538.33561100383
454,FRAAIGELEGEN,101328.271316528,1517.02090671864
455,STEENBRAS VIEW,189866.787200928,2316.07247029736
456,OCEAN VIEW,1696278.49699402,5505.66112499745
457,GLENCAIRN,6637217.39866638,12420.6935201474
458,GREEN POINT,2034642.69062805,7661.25561249238
459,STEENBERG,3020721.32174683,9110.52127485851
460,MAITLAND GARDEN VILLAGE,539598.272659302,3020.75308956857
461,TABLE MOUNTAIN,32059131.5703888,40144.5309405399
462,DEACONVILLE,144912.132591248,1479.96561561117
463,SMARTIE TOWN,21294.2742767334,628.977068496774
464,MACASSAR VILLAGE,370862.792488098,2909.60196677892
465,BELL GLEN,237855.293045044,2449.12913200899
466,NEW MACASSAR,159891.726539612,2267.92492654358
467,KRAAIFONTEIN,4790654.48335266,13340.8020398834
